Name,Review,Genre,Tags,Developer,Publisher,Price,release_date,Total Number Of Reviews
The Forest,Overwhelmingly Positive,"['Action, Adventure, Indie, Simulation']","['Single-player', 'Online Co-op', 'LAN Co-op', 'Tracked Controller Support', 'VR Supported', 'Steam Cloud']",Endnight Games Ltd,Endnight Games Ltd,10.49,2018-04-30,447390.0
FINAL FANTASY VI,Very Positive,['RPG'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",Square Enix,Square Enix,11.19,2022-02-23,2681.0
Assetto Corsa Competizione,Very Positive,"['Racing, Simulation, Sports']","['Single-player', 'Online PvP', 'LAN PvP', 'VR Supported']",Kunos Simulazioni,505 Games,18.99,2019-05-29,20444.0
Citizen Sleeper,Very Positive,"['Adventure, Indie, RPG']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",Jump Over The Age,Fellow Traveller,5.24,2022-05-05,4156.0
Train Simulator Classic,Mostly Positive,['Simulation'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Steam Cloud', 'Steam Leaderboards']",Dovetail Games,Dovetail Games - Trains,12.49,2009-07-12,17411.0
The Universim,Very Positive,"['Indie, Simulation, Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",Crytivo,Crytivo,14.99,2024-01-22,6738.0
Satisfactory,Overwhelmingly Positive,"['Adventure, Indie, Simulation, Strategy, Early Access']","['Single-player', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Cloud', 'Remote Play on Tablet']",Coffee Stain Studios,Coffee Stain Publishing,29.99,2020-06-08,131659.0
Eternal Return,Mostly Positive,"['Indie, Strategy, Free to Play']","['Online PvP', 'Steam Trading Cards', 'In-App Purchases']",Nimble Neuron,"Kakao Games Europe B.V. (EU,NA,OCE)",0.0,2023-07-20,54284.0
The Matchless Kungfu,Very Positive,"['Indie, RPG, Strategy, Early Access']","['Single-player', 'Steam Workshop', 'Steam Cloud']",HuanMos Game,bilibili,5.6,2023-08-30,3895.0
RuneScape ®,Very Positive,"['Massively Multiplayer, RPG, Free to Play']","['MMO', 'Cross-Platform Multiplayer', 'Steam Achievements', 'In-App Purchases']",Jagex Ltd,Jagex Ltd,0.0,2020-10-14,22874.0
Governor of Poker 3,Mostly Positive,"['Casual, Massively Multiplayer, Simulation, Free to Play']","['MMO', 'Online PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'In-App Purchases']",Playtika Ltd.,Playtika Ltd.,0.0,2016-02-19,14267.0
Bendy and the Ink Machine,Very Positive,"['Action, Adventure, Indie, Strategy']","['Single-player', 'Steam Achievements', 'Remote Play on TV']",Joey Drew Studios,Joey Drew Studios,9.99,2017-02-10,14575.0
Pummel Party,Very Positive,"['Action, Casual, Indie']","['Single-player', 'Online PvP', 'Shared/Split Screen PvP', 'Steam Achievements', 'Steam Workshop', 'Includes level editor', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together']",Rebuilt Games,Rebuilt Games,14.99,2018-09-20,38130.0
Medieval Dynasty,Very Positive,"['Action, Adventure, Indie, RPG, Simulation']","['Single-player', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",Render Cube,Toplitz Productions,17.99,2021-09-23,30652.0
Battlefield™ V,Mostly Positive,['Action'],"['Single-player', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'HDR available']",DICE,Electronic Arts,49.99,2018-11-09,164340.0
FINAL FANTASY IX,Very Positive,['RPG'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet']",Square Enix,Square Enix,6.79,2016-04-14,8730.0
Deep Rock Galactic,Overwhelmingly Positive,['Action'],"['Single-player', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'Remote Play on Tablet', 'Remote Play on TV']",Ghost Ship Games,Coffee Stain Publishing,29.99,2020-05-13,218124.0
BattleBit Remastered,Very Positive,"['Action, Massively Multiplayer, Early Access']","['MMO', 'Online PvP']",SgtOkiDoki,SgtOkiDoki,14.99,2023-06-15,108391.0
FINAL FANTASY V,Very Positive,['RPG'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",Square Enix,Square Enix,11.19,2021-11-10,1388.0
Overcooked! All You Can Eat,Mostly Positive,"['Casual, Indie, Simulation, Strategy']","['Single-player', 'Online PvP', 'Shared/Split Screen PvP', 'Online Co-op', 'Shared/Split Screen Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Remote Play Together']",Team17 Digital,Team17 Digital,18.99,2021-03-23,2798.0
HARVESTELLA,Mostly Positive,"['Action, RPG, Simulation']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",Square Enix,Square Enix,22.49,2022-11-04,1594.0
Age of Wonders 4,Very Positive,['Strategy'],"['Single-player', 'Online PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud', 'Remote Play Together']",Triumph Studios,Paradox Interactive,29.99,2023-05-02,9522.0
Headbangers: Rhythm Royale,Mostly Positive,['Casual'],"['Online PvP', 'Cross-Platform Multiplayer', 'Steam Achievements']",Glee-Cheese Studio,Team17,7.02,2023-10-31,533.0
Crossout,Mostly Positive,"['Action, Massively Multiplayer, Racing, Free to Play']","['MMO', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Remote Play on Tablet', 'Remote Play on TV']",Targem Games,Gaijin Distribution KFT,0.0,2017-07-27,58731.0
Roboquest,Overwhelmingly Positive,"['Action, Indie']","['Single-player', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",RyseUp Studios,RyseUp Studios,10.99,2023-11-07,10645.0
DARK SOULS™: REMASTERED,Very Positive,['Action'],"['Single-player', 'Steam Achievements', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']",QLOC,"FromSoftware, Inc",24.99,2018-05-24,61253.0
