,title,artist,top_genre,year,added,bpm,nrgy,dB,live,val,dur,acous,spch,pop
176,You Go To My Head,Art Pepper,bebop,1988,2024‑02‑02,65,9,-16,11,30,258,98,9,54
177,Fool That I Am,Etta James,jazz blues,1961,2024‑02‑02,102,8,-17,39,21,177,90,4,54
178,Since I Fell For You - Rudy Van Gelder Edition / 2007 / Digital Remaster,Lee Morgan,bebop,1957,2024‑02‑02,166,20,-11,11,37,339,98,4,54
179,I've Grown Accustomed To Her Face - Remastered/1998,Dean Martin,adult standards,1960,2024‑02‑02,79,12,-16,11,34,163,79,6,54
180,Ain't We Got Fun,Peggy Lee,adult standards,1958,2024‑02‑02,136,24,-12,15,63,134,76,4,54
181,My Funny Valentine - Rudy Van Gelder Remaster 2007,Miles Davis Quintet,bebop,1957,2024‑02‑02,69,13,-14,13,30,361,94,4,54
182,"Gee Baby, Ain't I Good To You",Sonny Clark,bebop,1979,2024‑02‑02,70,15,-16,14,22,238,86,5,54
183,In The Blue Of The Evening,Tommy Flanagan Trio,jazz trio,1985,2024‑02‑02,135,24,-20,15,57,222,88,4,55
184,This Is Always,Betty Carter,vocal jazz,1993,2024‑02‑02,114,6,-20,13,14,192,97,4,55
185,Embraceable You,Sarah Vaughan,jazz,1954,2024‑02‑02,119,11,-15,15,5,291,95,4,55
186,Let's Do It,Eartha Kitt,torch song,1957,2024‑02‑02,97,5,-20,24,43,185,87,4,56
187,Don't Go To Strangers,Etta Jones,adult standards,1960,2024‑02‑02,129,9,-14,12,17,228,97,4,56
188,Journey Into Melody - 2007 Digital Remaster/Rudy Van Gelder Edition,Stanley Turrentine,jazz saxophone,2007,2024‑02‑02,59,16,-11,21,20,295,95,3,56
189,Footprints - Remastered,Wayne Shorter,contemporary post-bop,1967,2024‑02‑02,136,45,-11,11,49,450,77,3,56
190,You Are Too Beautiful,John Coltrane,bebop,1963,2024‑02‑02,54,8,-21,9,27,337,86,4,57
191,The Masquerade Is Over,Nancy Wilson,vocal jazz,1962,2024‑02‑02,174,4,-18,16,13,258,91,3,58
192,Almost Like Being In Love,Red Garland,bebop,1957,2024‑02‑02,94,35,-13,10,70,290,87,4,59
193,There Will Never Be Another You - Vocal Version,Chet Baker,cool jazz,1956,2024‑02‑02,169,11,-16,7,58,181,95,6,59
194,Till There Was You,Etta Jones,adult standards,1994,2024‑02‑02,136,6,-16,14,24,126,97,4,61
195,But Beautiful,Stan Getz,bebop,1973,2024‑02‑02,73,5,-22,8,32,281,97,4,62
196,Teach Me Tonight,Dinah Washington,jazz blues,1988,2024‑02‑02,73,23,-11,14,40,167,81,8,62
197,April In Paris,Billie Holiday,adult standards,1958,2024‑02‑02,75,13,-14,13,21,186,93,4,63
198,Confidence,Ocean Alley,australian reggae fusion,2018,2024‑02‑02,141,56,-10,11,56,253,6,5,84
199,The Dead Come Talking,Roe Kapara,,2023,2024‑02‑02,178,47,-7,22,35,134,38,3,66
200,Carsick,K.Flay,escape room,2024,2024‑02‑02,172,79,-5,14,27,165,1,6,60
201,Love To Walk Away,The Vaccines,british indie rock,2024,2024‑02‑02,80,86,-4,10,49,127,1,4,58
202,Not The 1975,Knox,singer-songwriter pop,2023,2024‑02‑02,134,92,-5,17,93,198,11,5,67
203,Triumph,Bishop Briggs,modern alternative rock,2024,2024‑02‑02,134,86,-4,36,32,158,1,30,61
204,Black Dress,070 Shake,new jersey rap,2023,2024‑02‑02,122,65,-4,8,40,237,3,3,58
205,Sure Enough,Two Door Cinema Club,indie rock,2023,2024‑02‑02,76,93,-4,8,69,171,0,5,55
206,More Than a Love Song,Black Pumas,retro soul,2023,2024‑02‑02,95,79,-4,13,49,287,15,19,50
207,Conceited,Lola Young,uk pop,2023,2024‑02‑02,92,45,-5,50,86,239,39,8,67
208,Eat Your Young,Hozier,irish singer-songwriter,2023,2024‑02‑02,90,61,-6,24,32,244,43,3,73
209,No Strings,X Ambassadors,modern alternative rock,2024,2024‑02‑02,104,78,-7,9,53,213,12,5,65
210,Home,Good Neighbours,,2024,2024‑02‑02,77,64,-4,12,16,157,3,3,81
211,Dancer,IDLES,bristol indie,2023,2024‑02‑02,141,85,-6,32,60,189,1,4,66
